aviario,fb.pre_inicial,fb.inicial_1,fb.inicial_2,fb.crescimento,fb.abate,cap_silo,tipo_aviario,global,mort_inicial,cama,gmd,iep,mortalidade,salmonella,densidade,caaj,a01,a02,a03,a08,a09,a10,a11,c07,c08,d01,d02,d03,d04_bin,d05_bin,f15,h01,h02,i02,i03,i04,i05,i06,i07,i08,i09,i10,i11,x01,i01,f01,f02,f03,f04,f05,f06,c05,c06,c12,y03,y04,class_av,peso.7d,mult.7d,peso.14d,mult.14d,peso.21d,mult.21d,peso.28d,mult.28d,peso.35d,mult.35d,peso.42d,mult.42d,coef_correcao,fb.pre_inicial_ajustado,fb.inicial_1_ajustado,fb.inicial_2_ajustado,fb.crescimento_ajustado,fb.abate_ajustado
1111,240,0.038113175827004867,-0.3136437288785678,0.23820293250196445,-0.727831650005949,0.5445216054528571,2,0,"0,86",9,69.6,353.0,7.28,"0,692307692",14,1.752,1,0,0,0,1,1,0,0,1,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0.0,0.0,1,1,1,0,0,0,0,0,0.0,1,0,0,0,5,0.8213251962263138,-0.20566323827071092,0.8213251962263138,-0.20566323827071092,0.8213251962263138,-0.20566323827071092,0.8213251962263138,-0.20566323827071092,0.8213251962263138,-0.20566323827071092,0.8213251962263138,-0.20566323827071092,1.0679886685552409,256.3172804532578,0.04070443990589472,-0.3349679484057226,0.2543980327287269,-0.7773159548222175
970,260,-0.6869183943849767,-1.1617961625181437,1.4373902043655455,-0.3310627316409367,0.5445216054528571,2,0,"0,72","9,5",71.1,393.0,6.44,"0,416666667",14,1.719,0,0,0,0,0,0,0,0,1,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,1,0,0,0,0,1,0.0,1,0,0,0,2,0.8213251962263138,-0.46981564710218726,0.8213251962263138,-0.46981564710218726,0.8213251962263138,-0.46981564710218726,0.8213251962263138,-0.46981564710218726,0.8213251962263138,-0.46981564710218726,0.8213251962263138,-0.46981564710218726,0.9592875318066157,249.4147582697201,-0.6589522511021277,-1.1144965732044279,1.3788705013888312,-0.31758435070899016
540,260,4.267464002063564,0.9114653419341529,-0.2186303139222569,-0.5955753438842782,0.10101252784081136,1,0,"0,74",7,70.9,390.0,5.53,"0,538461538",13,1.728,0,1,0,0,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0,1,1,0,0,0,0,1,0.0,0,0,0,0,2,0.17289501251975362,-0.0735870338549704,0.17289501251975362,-0.0735870338549704,0.17289501251975362,-0.0735870338549704,0.17289501251975362,-0.0735870338549704,0.17289501251975362,-0.0735870338549704,0.17289501251975362,-0.0735870338549704,0.9666666666666667,251.33333333333334,4.125215201994778,0.8810831638696811,-0.21134263679151502,-0.5757228324214689
998,250,-0.0827254192083254,-1.350274481104716,1.0376611137443519,0.28613336359352687,0.5445216054528571,2,0,"0,65",13,73.4,397.0,5.72,"0,615384615",13,1.739,1,0,0,0,1,0,1,0,0,0,1,0,0,1,4,0,0,0,0,1,0,0,0,0,1,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0,1,0,0,4,-0.31342762526016654,1.0622683241203812,-0.31342762526016654,1.0622683241203812,-0.31342762526016654,1.0622683241203812,-0.31342762526016654,1.0622683241203812,-0.31342762526016654,1.0622683241203812,-0.31342762526016654,1.0622683241203812,0.9496221662468514,237.40554156171285,-0.07855789179228885,-1.2822505777745037,0.9853859946640319,0.2717185845711829
666,260,0.521467555968326,0.7229870233475805,0.9805569579413241,-1.0364296976231808,0.5445216054528571,2,0,"1,04","15,5",69.0,338.5,11.83,"0,583333333",14,1.854,1,0,0,0,1,0,1,0,0,1,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,1,1,0,0,0,0,1,0.0,0,0,0,0,3,-0.47553517118680666,-1.0509509465314342,-0.47553517118680666,-1.0509509465314342,-0.47553517118680666,-1.0509509465314342,-0.47553517118680666,-1.0509509465314342,-0.47553517118680666,-1.0509509465314342,-0.47553517118680666,-1.0509509465314342,1.1137370753323486,289.57163958641064,0.5807777506648711,0.8052174528863747,1.0920826385343552,-1.1543101802184317
969,270,-0.5660797993496465,-0.9733178439315713,1.5515985159716008,-0.5955753438842782,0.5445216054528571,2,0,"0,545","9,5",71.1,376.5,7.025,"0,416666667",14,1.7235,1,0,0,0,1,1,0,0,0,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1,1,1,0,0,0,0,1,0.0,1,0,0,0,4,1.145540288079591,-0.04717179297182323,1.145540288079591,-0.04717179297182323,1.145540288079591,-0.04717179297182323,1.145540288079591,-0.04717179297182323,1.145540288079591,-0.04717179297182323,1.145540288079591,-0.04717179297182323,1.00132802124834,270.3585657370518,-0.5668315653514389,-0.9746104307097009,1.5536590717697039,-0.596366280595944
1117,250,0.15895177086233514,0.8172261826408667,0.6379320231231581,-0.022464684023704905,0.5445216054528571,3,0,"1,095","15,5",69.5,348.0,10.91,"0,666666667",15,1.784,1,0,0,0,1,1,0,0,0,1,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0.0,1.0,0,1,1,0,0,0,0,1,0.0,0,0,0,0,5,-0.1513200793335265,-1.7377472094932769,-0.1513200793335265,-1.7377472094932769,-0.1513200793335265,-1.7377472094932769,-0.1513200793335265,-1.7377472094932769,-0.1513200793335265,-1.7377472094932769,-0.1513200793335265,-1.7377472094932769,1.0833333333333333,270.8333333333333,0.17219775176752972,0.8853283645276054,0.6910930250500879,-0.02433674102568031
1112,240,-0.4452412043143162,0.7229870233475805,-1.0180884951646443,0.19796249284574638,0.5445216054528571,2,0,"1,31",9,70.4,356.0,8.14,"0,307692308",14,1.761,1,0,0,1,0,1,0,0,1,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0.0,0.0,1,1,1,0,0,0,0,0,0.0,0,0,0,0,5,0.22693086116196698,-0.04717179297182323,0.22693086116196698,-0.04717179297182323,0.22693086116196698,-0.04717179297182323,0.22693086116196698,-0.04717179297182323,0.22693086116196698,-0.04717179297182323,0.22693086116196698,-0.04717179297182323,1.0589887640449438,254.1573033707865,-0.4715054326587,0.7656351342753872,-1.0781442771827834,0.209640055625973
679,260,-0.20356401424365567,-0.7848395253449988,0.5808278673201305,-0.3310627316409367,0.10101252784081136,2,1,"0,75",23,71.9,381.0,5.08,"0,545454545",13,1.765,1,0,0,0,1,0,1,0,0,1,0,0,1,0,5,0,0,0,0,0,1,0,0,1,0,0.0,1.0,0,1,0,1,0,0,0,1,1.0,0,0,0,0,3,-0.1513200793335265,-0.04717179297182323,-0.1513200793335265,-0.04717179297182323,-0.1513200793335265,-0.04717179297182323,-0.1513200793335265,-0.04717179297182323,-0.1513200793335265,-0.04717179297182323,-0.1513200793335265,-0.04717179297182323,0.989501312335958,257.2703412073491,-0.20142685923847292,-0.7765997403020066,0.5747299369545648,-0.3275870074242339
610,280,-0.20356401424365567,0.06331290829457702,-0.5612552487404229,0.3302187989674171,-0.34249654977123434,1,0,"1,27",14,71.3,372.0,6.44,"0,615384615",12,1.806,0,1,1,1,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0,1,1,0,0,0,0,1,0.0,0,0,0,0,1,0.3350025584463937,-0.6547223332842221,0.3350025584463937,-0.6547223332842221,0.3350025584463937,-0.6547223332842221,0.3350025584463937,-0.6547223332842221,0.3350025584463937,-0.6547223332842221,0.3350025584463937,-0.6547223332842221,1.0134408602150538,283.76344086021504,-0.20630008970391986,0.06416388824477294,-0.5687990020837081,0.3346572236847211
